epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5560.88,0.86812,1.16042,1.10328,0.6532,0.70336,0.67814,0.50611,0.73177,0.94868,0.9563,0.000428887,0.000428887,0.000428887
43,5661.61,0.85933,1.15694,1.09824,0.68195,0.64817,0.69244,0.52759,0.73713,0.88652,0.95395,0.000425006,0.000425006,0.000425006
44,5763.27,0.85614,1.13076,1.09748,0.62691,0.68747,0.6605,0.4904,0.75259,0.9405,0.95916,0.000421126,0.000421126,0.000421126
45,5865.29,0.84735,1.12729,1.0915,0.6698,0.67203,0.70142,0.52809,0.75235,0.9057,0.97004,0.000417245,0.000417245,0.000417245
46,5965.66,0.84599,1.13951,1.08862,0.71551,0.65002,0.69473,0.52083,0.72461,0.9115,0.94629,0.000413364,0.000413364,0.000413364
47,6066.59,0.85308,1.10821,1.097,0.67153,0.70871,0.70568,0.53573,0.72148,0.88829,0.9492,0.000409483,0.000409483,0.000409483
48,6167.62,0.84206,1.10907,1.09358,0.69333,0.70356,0.71407,0.53987,0.73313,0.87516,0.95444,0.000405602,0.000405602,0.000405602
49,6267.83,0.84939,1.1011,1.09516,0.65846,0.68844,0.70022,0.52162,0.72317,0.90559,0.94256,0.000401722,0.000401722,0.000401722
50,6368.41,0.83626,1.08125,1.08691,0.66165,0.70909,0.70871,0.5365,0.72613,0.88519,0.94224,0.000397841,0.000397841,0.000397841
51,6468.75,0.82735,1.08877,1.08028,0.62264,0.72663,0.71719,0.53543,0.73722,0.87732,0.94751,0.00039396,0.00039396,0.00039396
52,6569.62,0.81584,1.06683,1.08046,0.71297,0.70873,0.73411,0.56959,0.71179,0.84373,0.93622,0.000390079,0.000390079,0.000390079
53,6669.99,0.80625,1.05166,1.07326,0.70201,0.64373,0.70479,0.53407,0.73566,0.90221,0.95065,0.000386198,0.000386198,0.000386198
54,6770.52,0.81325,1.0474,1.07639,0.69738,0.71444,0.71745,0.55407,0.72559,0.8446,0.95382,0.000382318,0.000382318,0.000382318
55,6871.26,0.80428,1.03149,1.07062,0.6939,0.67922,0.72909,0.55654,0.71987,0.86007,0.93701,0.000378437,0.000378437,0.000378437
56,6971.7,0.80981,1.03122,1.06773,0.71666,0.70558,0.74414,0.57101,0.70622,0.97146,0.9365,0.000374556,0.000374556,0.000374556
57,7072.8,0.80166,1.02234,1.0689,0.72137,0.68596,0.72442,0.56186,0.70209,0.84478,0.93739,0.000370675,0.000370675,0.000370675
58,7173.7,0.78527,1.01535,1.05865,0.69352,0.72997,0.73986,0.56948,0.70312,0.8344,0.93311,0.000366794,0.000366794,0.000366794
59,7274.32,0.78295,1.01352,1.06373,0.70891,0.72844,0.74334,0.56718,0.71615,0.81621,0.94052,0.000362914,0.000362914,0.000362914
60,7374.73,0.77542,0.99117,1.05719,0.67775,0.74694,0.747,0.58054,0.68663,0.81737,0.93155,0.000359033,0.000359033,0.000359033
61,7475.67,0.79342,1.00717,1.06602,0.74828,0.67649,0.74482,0.5685,0.69862,0.81159,0.93759,0.000355152,0.000355152,0.000355152
62,7577.52,0.77203,0.99605,1.05364,0.74037,0.74507,0.75908,0.60587,0.67931,0.76907,0.92839,0.000351271,0.000351271,0.000351271
63,7677.51,0.77898,1.00678,1.06258,0.73087,0.75134,0.77791,0.60682,0.68153,0.77363,0.92973,0.00034739,0.00034739,0.00034739
64,7778.14,0.7785,0.98256,1.05918,0.73309,0.73329,0.76671,0.59504,0.68869,0.78236,0.92648,0.00034351,0.00034351,0.00034351
65,7878.18,0.76732,0.97898,1.05304,0.68836,0.78482,0.75784,0.59045,0.6938,0.80006,0.93064,0.000339629,0.000339629,0.000339629
66,7978.42,0.75715,0.95918,1.04434,0.77396,0.7285,0.77326,0.61082,0.68815,0.75857,0.92858,0.000335748,0.000335748,0.000335748
67,8079.14,0.76002,0.96703,1.0463,0.71395,0.77776,0.75266,0.59553,0.68098,0.76201,0.9264,0.000331867,0.000331867,0.000331867
68,8180.29,0.7498,0.94561,1.04381,0.72529,0.73071,0.73686,0.58543,0.67639,0.79044,0.93065,0.000327986,0.000327986,0.000327986
69,8281.23,0.75556,0.93842,1.04038,0.73201,0.70544,0.74294,0.59354,0.68236,0.75907,0.9278,0.000324106,0.000324106,0.000324106
70,8381.56,0.75013,0.95274,1.0412,0.72202,0.75886,0.75131,0.60204,0.67772,0.76774,0.92842,0.000320225,0.000320225,0.000320225
71,8483.28,0.74271,0.93091,1.03788,0.72791,0.76343,0.76346,0.60782,0.69033,0.75511,0.93065,0.000316344,0.000316344,0.000316344
72,8584.11,0.73621,0.91604,1.03102,0.7637,0.76783,0.79104,0.63499,0.67492,0.73313,0.9277,0.000312463,0.000312463,0.000312463
73,8685.06,0.7385,0.93279,1.03712,0.7281,0.75857,0.77636,0.6194,0.6764,0.78169,0.91961,0.000308582,0.000308582,0.000308582
74,8785.51,0.74023,0.92441,1.03768,0.73451,0.74857,0.77391,0.62618,0.65892,0.74969,0.91341,0.000304702,0.000304702,0.000304702
75,8886.82,0.72685,0.91658,1.02924,0.73375,0.77369,0.77481,0.62186,0.65792,0.73676,0.91842,0.000300821,0.000300821,0.000300821
76,8988.53,0.72685,0.91948,1.03194,0.75805,0.74036,0.7696,0.61098,0.66834,0.7672,0.91684,0.00029694,0.00029694,0.00029694
77,9089.2,0.71999,0.90544,1.0308,0.73962,0.79411,0.78748,0.63135,0.67226,0.76176,0.91962,0.000293059,0.000293059,0.000293059
